item_id,date,p10,p50,p90
client_12,2014-10-31T00:00:00Z,51.525040637236145,72.25199922119496,106.10141675755497
client_12,2014-10-31T01:00:00Z,36.41382679736991,69.78181879894245,96.93052159254269
client_12,2014-10-31T02:00:00Z,45.8784935529505,70.90231662648567,101.3884845743303
client_12,2014-10-31T03:00:00Z,47.88818979505276,71.8242590588867,104.69231267202879
client_12,2014-10-31T04:00:00Z,43.24613404965864,75.24829923351027,103.01472721549302
client_12,2014-10-31T05:00:00Z,37.87654356678957,63.33237945370656,91.18840747935805
client_12,2014-10-31T06:00:00Z,34.992746537433064,63.38713549293186,94.55697027784146
client_12,2014-10-31T07:00:00Z,52.02426620731786,76.74873867327018,109.07253897118204
client_12,2014-10-31T08:00:00Z,63.626564460299235,96.77027527030245,130.62035438680454
client_12,2014-10-31T09:00:00Z,107.67730830482414,136.14551727033572,169.1346922531958
client_12,2014-10-31T10:00:00Z,131.00750724610864,155.88675337603695,185.07668314582713
client_12,2014-10-31T11:00:00Z,134.87451730516977,163.4335451476456,196.2408876467625
client_12,2014-10-31T12:00:00Z,119.87935609881464,149.99084002263947,191.9161270227409
client_12,2014-10-31T13:00:00Z,112.60620162198227,132.491682034148,171.1434415909223
client_12,2014-10-31T14:00:00Z,100.64821571500627,131.9543200326324,157.52955660910268
client_12,2014-10-31T15:00:00Z,105.67496046186297,134.14426665265927,169.32530672206067
client_12,2014-10-31T16:00:00Z,110.28543352168691,140.93590137535313,166.01006972148554
client_12,2014-10-31T17:00:00Z,117.5448636358456,143.02085943175712,173.89213038820657
client_12,2014-10-31T18:00:00Z,98.65846012655612,127.56614243092017,164.79131298556035
client_12,2014-10-31T19:00:00Z,87.79653459626186,115.69476845819462,143.43423147251482
client_12,2014-10-31T20:00:00Z,68.78927280534666,98.5838275660255,136.4696560041054
client_12,2014-10-31T21:00:00Z,50.966827825766345,87.6589970791083,118.6881897162394
client_12,2014-10-31T22:00:00Z,43.92862167775737,79.71345359772192,109.23186849027168
client_12,2014-10-31T23:00:00Z,32.38028146115582,68.63221466895607,101.12126514051904
client_12,2014-11-01T00:00:00Z,29.786233686434283,61.725846981189626,88.2824567312436
client_12,2014-11-01T01:00:00Z,27.551241496509345,53.69339262321258,84.63176737054249
client_12,2014-11-01T02:00:00Z,29.995562811202117,61.080736677461864,87.2380573122219
client_12,2014-11-01T03:00:00Z,30.705584635754082,54.77858998873739,84.9364678868246
client_12,2014-11-01T04:00:00Z,21.911468046508766,53.85527749166763,88.27560454721858
client_12,2014-11-01T05:00:00Z,19.0213279193331,51.492504512617685,82.98355213551048
client_12,2014-11-01T06:00:00Z,6.343002546403518,38.28059514506353,66.45272431321193
client_12,2014-11-01T07:00:00Z,21.988922293292102,50.90761037692667,71.9518200921825
client_12,2014-11-01T08:00:00Z,42.64891657279057,71.89943917493194,108.5501258038542
client_12,2014-11-01T09:00:00Z,69.68157317299799,112.81498854669005,137.5378627166848
client_12,2014-11-01T10:00:00Z,90.46935356749061,128.65689438842094,154.73763335169178
client_12,2014-11-01T11:00:00Z,103.5051559886066,131.68743132165767,159.59249682163943
client_12,2014-11-01T12:00:00Z,85.6432752033725,115.599444515375,138.9132598704734
client_12,2014-11-01T13:00:00Z,67.71189681878747,98.7256370322073,136.98783770885623
client_12,2014-11-01T14:00:00Z,58.0318014713167,93.85430160664549,118.54705712167247
client_12,2014-11-01T15:00:00Z,70.16483413968284,99.72786596354564,127.8029338085743
client_12,2014-11-01T16:00:00Z,64.8831768385989,100.47938503736358,128.42010554073457
client_12,2014-11-01T17:00:00Z,71.81272674827399,102.32888732704596,133.0171287509538
client_12,2014-11-01T18:00:00Z,56.16610466949136,88.2947953664344,121.172665519958
client_12,2014-11-01T19:00:00Z,41.35663920602588,73.53874350474428,104.60603129124068
client_12,2014-11-01T20:00:00Z,23.34956181379176,58.766561286209466,85.72316282565993
client_12,2014-11-01T21:00:00Z,11.40707257949991,45.316817966928,72.72444511702501
client_12,2014-11-01T22:00:00Z,-0.7030879711521649,28.581003490351033,59.46166998790593
client_12,2014-11-01T23:00:00Z,-11.705267323966023,17.495642028743532,47.17419353173376
client_12,2014-11-02T00:00:00Z,-19.04809571443726,17.442151235373107,39.02303241230818
client_12,2014-11-02T01:00:00Z,-21.168850164440986,6.027668614674935,40.42461668724924
